,Unnamed: 0,feature,LD1,LD2
112,112,fALFF_cortex_RH_ContB_Temp_2,-0.86047361523544,-0.86047361523544
111,111,fALFF_cortex_LH_DefaultA_PFCm_5,0.860146726580945,0.860146726580945
110,110,fALFF_cortex_RH_DefaultB_Temp_1,-0.85934729766884,-0.85934729766884
109,109,ReHo_cortex_RH_SomMotA_9,-0.83996552276343,-0.83996552276343
108,108,fALFF_cortex_RH_DorsAttnB_PostC_3,-0.838984240303819,-0.838984240303819
107,107,DC_cortex_RH_SalVentAttnA_FrMed_1,0.835196339460956,0.835196339460956
106,106,DC_cortex_RH_TempPar_5,-0.834439756461835,-0.834439756461835
105,105,fALFF_Otha_L,-0.82996801994445,-0.82996801994445
104,104,fALFF_lAmyg_R,0.826758723247746,0.826758723247746
103,103,fALFF_cortex_RH_DorsAttnB_PostC_4,0.824961189396308,0.824961189396308
102,102,fALFF_cortex_RH_DorsAttnB_FEF_1,-0.824861561098239,-0.824861561098239
101,101,fALFF_mPFtha_L,-0.822399300890529,-0.822399300890529
100,100,DC_cortex_RH_SalVentAttnA_ParMed_2,-0.815412173894767,-0.815412173894767
99,99,gmv_cortex_LH_DefaultB_PFCv_4,0.811777238005367,0.811777238005367
98,98,ReHo_cortex_LH_SomMotA_9,-0.811389653415399,-0.811389653415399
97,97,ReHo_cortex_LH_SomMotA_5,0.807982439782547,0.807982439782547
96,96,DC_cortex_RH_DorsAttnA_TempOcc_1,0.802734017351777,0.802734017351777
95,95,fALFF_cortex_LH_SalVentAttnB_PFCl_2,0.799824895335928,0.799824895335928
94,94,fALFF_cortex_RH_SomMotA_4,0.790311105730375,0.790311105730375
93,93,fALFF_cortex_RH_DorsAttnA_SPL_6,-0.78648038088063,-0.78648038088063
92,92,fALFF_cortex_RH_SomMotA_7,-0.782779560652288,-0.782779560652288
91,91,fALFF_cortex_LH_ContC_pCun_3,0.777512395546521,0.777512395546521
90,90,fALFF_cortex_RH_ContA_PFCl_3,0.772221326080841,0.772221326080841
89,89,fALFF_cortex_LH_ContA_IPS_3,0.75730822779124,0.75730822779124
88,88,fALFF_cortex_RH_DefaultA_IPL_1,0.749236641549711,0.749236641549711
87,87,fALFF_cortex_RH_SomMotA_12,-0.744262992294447,-0.744262992294447
86,86,fALFF_cortex_LH_DefaultA_PFCm_6,0.733482310032724,0.733482310032724
85,85,fALFF_cortex_RH_ContB_IPL_3,0.729450752738254,0.729450752738254
84,84,DC_cortex_RH_SomMotA_7,-0.726783734151177,-0.726783734151177
83,83,gmv_cortex_RH_VisCent_ExStr_9,0.72604885774347,0.72604885774347
82,82,ReHo_cortex_RH_SalVentAttnA_FrOper_2,0.723688097646027,0.723688097646027
81,81,ReHo_cortex_LH_SomMotA_12,0.71754283557116,0.71754283557116
80,80,fALFF_cortex_RH_DorsAttnB_FEF_2,-0.713259260189308,-0.713259260189308
79,79,ReHo_cortex_RH_SomMotA_17,-0.711457551741394,-0.711457551741394
78,78,fALFF_cortex_RH_SalVentAttnB_PFCl_3,-0.703089645115001,-0.703089645115001
77,77,fALFF_cortex_RH_SalVentAttnA_ParMed_3,-0.668744274010303,-0.668744274010303
76,76,fALFF_cortex_LH_DefaultA_PFCm_3,-0.659135304826254,-0.659135304826254
75,75,fALFF_cortex_LH_ContB_PFClv_3,0.649569221168443,0.649569221168443
74,74,fALFF_rHipp_R,0.645655480589039,0.645655480589039
73,73,fALFF_cortex_RH_ContA_PFCl_4,-0.643287911079094,-0.643287911079094
72,72,fALFF_cortex_RH_ContC_pCun_4,-0.638257988298517,-0.638257988298517
71,71,fALFF_cortex_LH_SalVentAttnB_PFCmp_1,0.631466171135527,0.631466171135527
70,70,DC_dlPu_L,-0.589556527790564,-0.589556527790564
69,69,fALFF_lAmyg_L,-0.535253898665262,-0.535253898665262
68,68,ReHo_cortex_RH_DorsAttnA_TempOcc_3,-0.518585206004973,-0.518585206004973
67,67,DC_cortex_LH_ContB_Temp_2,0.511250994591165,0.511250994591165
66,66,fALFF_cortex_RH_ContA_PFCl_2,-0.50594244440107,-0.50594244440107
65,65,fALFF_cortex_RH_DefaultA_PFCd_2,-0.503061591243977,-0.503061591243977
64,64,fALFF_cortex_RH_SomMotA_14,0.498812343747937,0.498812343747937
63,63,fALFF_cortex_LH_DefaultA_pCunPCC_7,0.495045968158238,0.495045968158238
62,62,fALFF_cortex_RH_SalVentAttnA_ParMed_2,-0.49215960866696,-0.49215960866696
61,61,ReHo_cortex_RH_SomMotB_S2_1,-0.47424592800071,-0.47424592800071
60,60,CHILDgender,0.470272817917877,0.470272817917877
59,59,fALFF_cortex_LH_DefaultB_IPL_1,-0.467816908629218,-0.467816908629218
58,58,fALFF_cortex_LH_LimbicA_TempPole_6,-0.452819493536645,-0.452819493536645
57,57,DC_cortex_LH_DorsAttnA_TempOcc_2,-0.442781922247798,-0.442781922247798
56,56,ReHo_mAmyg_L,0.432009960609766,0.432009960609766
55,55,DC_cortex_RH_SalVentAttnA_FrMed_4,0.409623502606889,0.409623502606889
54,54,fALFF_cortex_LH_DefaultB_PFCd_1,-0.400478230338392,-0.400478230338392
53,53,fALFF_cortex_LH_SalVentAttnA_Ins_1,-0.397236000803734,-0.397236000803734
52,52,DC_mPMtha_L,-0.391690188801791,-0.391690188801791
51,51,fALFF_cortex_RH_SalVentAttnA_FrOper_3,0.389617280987206,0.389617280987206
50,50,fALFF_cortex_LH_DefaultB_PFCv_1,-0.347280930478697,-0.347280930478697
49,49,DC_cortex_RH_ContA_PFCl_5,0.347183733833118,0.347183733833118
48,48,fALFF_cortex_LH_ContB_PFCmp_1,-0.346240383152399,-0.346240383152399
47,47,DC_cortex_RH_SomMotB_S2_6,0.345366920932707,0.345366920932707
46,46,gmv_dlPu_L,-0.336709408938118,-0.336709408938118
45,45,ReHo_cHipp_L,-0.334260330398202,-0.334260330398202
44,44,fALFF_cortex_RH_SomMotB_Cent_2,0.324300462130821,0.324300462130821
43,43,fALFF_cortex_RH_ContA_PFCl_1,0.32276446566544,0.32276446566544
42,42,fALFF_cortex_RH_SalVentAttnA_FrMed_1,-0.320399900306781,-0.320399900306781
41,41,fALFF_cortex_RH_DorsAttnA_SPL_1,-0.319399247130599,-0.319399247130599
40,40,ReHo_cerebellum_15,-0.318962981435673,-0.318962981435673
39,39,ReHo_cortex_LH_ContA_IPS_2,0.309564169424136,0.309564169424136
38,38,fALFF_cortex_LH_LimbicA_TempPole_1,-0.309061020548078,-0.309061020548078
37,37,fALFF_cortex_RH_SomMotA_2,0.306075738467603,0.306075738467603
36,36,fALFF_cortex_RH_SomMotA_1,-0.294639186266075,-0.294639186266075
35,35,fALFF_cortex_RH_DorsAttnB_PostC_1,0.284203113856379,0.284203113856379
34,34,fALFF_cortex_LH_SomMotB_Cent_3,0.271565053231534,0.271565053231534
33,33,fALFF_mAmyg_L,0.265920250144852,0.265920250144852
32,32,gmv_cortex_RH_DefaultB_PFCd_2,-0.256816422009853,-0.256816422009853
31,31,fALFF_rTtha_R,0.252438472499927,0.252438472499927
30,30,fALFF_cerebellum_9,-0.249024834190469,-0.249024834190469
29,29,fALFF_lPFtha_L,-0.244471780809938,-0.244471780809938
28,28,DC_cortex_RH_SomMotB_S2_3,-0.234147107047729,-0.234147107047729
27,27,DC_lPFtha_L,-0.227730700682754,-0.227730700682754
26,26,ReHo_cortex_RH_DefaultA_PFCm_5,0.220784591544637,0.220784591544637
25,25,ReHo_cortex_RH_SalVentAttnA_Ins_3,-0.192085120890415,-0.192085120890415
24,24,fALFF_cortex_LH_LimbicA_TempPole_5,-0.187742004515998,-0.187742004515998
23,23,ReHo_cortex_RH_VisCent_ExStr_6,-0.169087017057973,-0.169087017057973
22,22,fALFF_cortex_RH_ContB_IPL_1,0.165442409413364,0.165442409413364
21,21,fALFF_cortex_RH_DorsAttnA_SPL_5,0.164614232082977,0.164614232082977
20,20,fALFF_cortex_RH_SalVentAttnB_PFCmp_2,-0.156166758233049,-0.156166758233049
19,19,fALFF_cortex_RH_DefaultB_PFCd_3,0.152736570207464,0.152736570207464
18,18,fALFF_cortex_RH_DefaultA_PFCm_4,0.147903120951858,0.147903120951858
17,17,fALFF_cortex_LH_ContA_PFCl_3,-0.141249756981653,-0.141249756981653
16,16,fALFF_cerebellum_2,0.133314854437716,0.133314854437716
15,15,ReHo_cortex_LH_SomMotA_8,-0.132795647174321,-0.132795647174321
14,14,fALFF_cortex_RH_ContB_PFCld_3,0.126630959910538,0.126630959910538
13,13,fALFF_cortex_RH_ContA_PFCd_1,-0.114953993146779,-0.114953993146779
12,12,fALFF_cortex_RH_ContB_PFClv_4,-0.0904150573769594,-0.0904150573769594
11,11,fALFF_cortex_RH_SomMotB_S2_6,-0.0820754024432359,-0.0820754024432359
10,10,fALFF_cortex_LH_SomMotB_Aud_3,-0.047828667243208,-0.047828667243208
9,9,fALFF_cortex_RH_SomMotB_S2_5,0.0406024279313828,0.0406024279313828
8,8,fALFF_cortex_RH_ContA_PFCl_5,-0.0334284610976971,-0.0334284610976971
7,7,fALFF_cortex_RH_SomMotA_9,-0.032587386045561,-0.032587386045561
6,6,gmv_cortex_RH_VisPeri_ExStrSup_3,0.0308013386019676,0.0308013386019676
5,5,gmv_cortex_RH_SomMotA_4,0.029659857122668,0.029659857122668
4,4,fALFF_cortex_RH_ContA_IPS_3,-0.0234665030996541,-0.0234665030996541
3,3,fALFF_cortex_RH_ContB_PFCmp_1,0.0202423424642132,0.0202423424642132
2,2,fALFF_cortex_RH_DefaultA_PFCd_1,-0.0133331758734661,-0.0133331758734661
1,1,fALFF_cortex_LH_LimbicA_TempPole_7,-0.0057542233892768,-0.0057542233892768
0,0,fALFF_cortex_RH_SalVentAttnB_PFCl_2,-0.0028336130942127,-0.0028336130942127
