,feature,LD1
103,fALFF_cortex_RH_DorsAttnB_PostC_1,0.284203113856379
131,fALFF_cortex_RH_SomMotA_1,-0.294639186266075
137,fALFF_cortex_RH_SomMotA_2,0.306075738467603
34,fALFF_cortex_LH_LimbicA_TempPole_1,-0.309061020548078
7,ReHo_cortex_LH_ContA_IPS_2,0.309564169424136
2,ReHo_cerebellum_15,-0.318962981435673
92,fALFF_cortex_RH_DorsAttnA_SPL_1,-0.319399247130599
109,fALFF_cortex_RH_SalVentAttnA_FrMed_1,-0.320399900306781
68,fALFF_cortex_RH_ContA_PFCl_1,0.32276446566544
149,fALFF_cortex_RH_SomMotB_Cent_2,0.324300462130821
167,ReHo_cHipp_L,-0.334260330398202
169,gmv_dlPu_L,-0.336709408938118
156,DC_cortex_RH_SomMotB_S2_6,0.345366920932707
13,fALFF_cortex_LH_ContB_PFCmp_1,-0.346240383152399
73,DC_cortex_RH_ContA_PFCl_5,0.347183733833118
23,fALFF_cortex_LH_DefaultB_PFCv_1,-0.347280930478697
115,fALFF_cortex_RH_SalVentAttnA_FrOper_3,0.389617280987206
181,DC_mPMtha_L,-0.391690188801791
43,fALFF_cortex_LH_SalVentAttnA_Ins_1,-0.397236000803734
22,fALFF_cortex_LH_DefaultB_PFCd_1,-0.400478230338392
113,DC_cortex_RH_SalVentAttnA_FrMed_4,0.409623502606889
177,ReHo_mAmyg_L,0.432009960609766
29,DC_cortex_LH_DorsAttnA_TempOcc_2,-0.442781922247798
37,fALFF_cortex_LH_LimbicA_TempPole_6,-0.452819493536645
21,fALFF_cortex_LH_DefaultB_IPL_1,-0.467816908629218
0,CHILDgender,0.470272817917877
152,ReHo_cortex_RH_SomMotB_S2_1,-0.47424592800071
117,fALFF_cortex_RH_SalVentAttnA_ParMed_2,-0.49215960866696
20,fALFF_cortex_LH_DefaultA_pCunPCC_7,0.495045968158238
135,fALFF_cortex_RH_SomMotA_14,0.498812343747937
86,fALFF_cortex_RH_DefaultA_PFCd_2,-0.503061591243977
69,fALFF_cortex_RH_ContA_PFCl_2,-0.50594244440107
14,DC_cortex_LH_ContB_Temp_2,0.511250994591165
98,ReHo_cortex_RH_DorsAttnA_TempOcc_3,-0.518585206004973
171,fALFF_lAmyg_L,-0.535253898665262
170,DC_dlPu_L,-0.589556527790564
48,fALFF_cortex_LH_SalVentAttnB_PFCmp_1,0.631466171135527
82,fALFF_cortex_RH_ContC_pCun_4,-0.638257988298517
71,fALFF_cortex_RH_ContA_PFCl_4,-0.643287911079094
183,fALFF_rHipp_R,0.645655480589039
12,fALFF_cortex_LH_ContB_PFClv_3,0.649569221168443
17,fALFF_cortex_LH_DefaultA_PFCm_3,-0.659135304826254
119,fALFF_cortex_RH_SalVentAttnA_ParMed_3,-0.668744274010303
127,fALFF_cortex_RH_SalVentAttnB_PFCl_3,-0.703089645115001
136,ReHo_cortex_RH_SomMotA_17,-0.711457551741394
100,fALFF_cortex_RH_DorsAttnB_FEF_2,-0.713259260189308
51,ReHo_cortex_LH_SomMotA_12,0.71754283557116
114,ReHo_cortex_RH_SalVentAttnA_FrOper_2,0.723688097646027
161,gmv_cortex_RH_VisCent_ExStr_9,0.72604885774347
145,DC_cortex_RH_SomMotA_7,-0.726783734151177
75,fALFF_cortex_RH_ContB_IPL_3,0.729450752738254
19,fALFF_cortex_LH_DefaultA_PFCm_6,0.733482310032724
134,fALFF_cortex_RH_SomMotA_12,-0.744262992294447
83,fALFF_cortex_RH_DefaultA_IPL_1,0.749236641549711
8,fALFF_cortex_LH_ContA_IPS_3,0.75730822779124
70,fALFF_cortex_RH_ContA_PFCl_3,0.772221326080841
15,fALFF_cortex_LH_ContC_pCun_3,0.777512395546521
144,fALFF_cortex_RH_SomMotA_7,-0.782779560652288
95,fALFF_cortex_RH_DorsAttnA_SPL_6,-0.78648038088063
140,fALFF_cortex_RH_SomMotA_4,0.790311105730375
47,fALFF_cortex_LH_SalVentAttnB_PFCl_2,0.799824895335928
96,DC_cortex_RH_DorsAttnA_TempOcc_1,0.802734017351777
52,ReHo_cortex_LH_SomMotA_5,0.807982439782547
54,ReHo_cortex_LH_SomMotA_9,-0.811389653415399
24,gmv_cortex_LH_DefaultB_PFCv_4,0.811777238005367
118,DC_cortex_RH_SalVentAttnA_ParMed_2,-0.815412173894767
179,fALFF_mPFtha_L,-0.822399300890529
99,fALFF_cortex_RH_DorsAttnB_FEF_1,-0.824861561098239
106,fALFF_cortex_RH_DorsAttnB_PostC_4,0.824961189396308
172,fALFF_lAmyg_R,0.826758723247746
163,fALFF_Otha_L,-0.82996801994445
158,DC_cortex_RH_TempPar_5,-0.834439756461835
110,DC_cortex_RH_SalVentAttnA_FrMed_1,0.835196339460956
105,fALFF_cortex_RH_DorsAttnB_PostC_3,-0.838984240303819
147,ReHo_cortex_RH_SomMotA_9,-0.83996552276343
91,fALFF_cortex_RH_DefaultB_Temp_1,-0.85934729766884
18,fALFF_cortex_LH_DefaultA_PFCm_5,0.860146726580945
80,fALFF_cortex_RH_ContB_Temp_2,-0.86047361523544
60,fALFF_cortex_LH_TempPar_1,-0.871340516869304
120,fALFF_cortex_RH_SalVentAttnA_ParMed_4,-0.873232933097658
1,age,0.884070359733741
42,DC_cortex_LH_SalVentAttnA_FrMed_2,0.88525114958247
66,fALFF_cortex_RH_ContA_IPS_4,0.899901440617283
81,fALFF_cortex_RH_ContC_pCun_2,-0.903424402833384
76,fALFF_cortex_RH_ContB_PFCld_1,-0.932271987232655
108,DC_cortex_RH_DorsAttnB_PostC_8,0.938094134710093
180,fALFF_mPMtha_L,-0.939258023751923
10,fALFF_cortex_LH_ContA_PFClv_2,-0.945627399034648
84,ReHo_cortex_RH_DefaultA_IPL_2,-0.952653592178934
141,fALFF_cortex_RH_SomMotA_6,0.962497917722835
63,fALFF_cortex_RH_ContA_IPS_1,-0.970342115267299
124,fALFF_cortex_RH_SalVentAttnA_PrC_1,0.982705615163957
102,ReHo_cortex_RH_DorsAttnB_FEF_3,-0.986219473459954
107,fALFF_cortex_RH_DorsAttnB_PostC_5,1.01230077226883
164,fALFF_Stha_L,1.03392389689802
61,fALFF_cortex_LH_VisCent_Striate_1,-1.0378459814581
93,fALFF_cortex_RH_DorsAttnA_SPL_4,-1.08048728710039
97,fALFF_cortex_RH_DorsAttnA_TempOcc_3,1.1006865060982
142,DC_cortex_RH_SomMotA_6,1.10079577572047
46,fALFF_cortex_LH_SalVentAttnB_PFCl_1,-1.10825626935265
148,fALFF_cortex_RH_SomMotB_Cent_1,-1.1365226142831
35,fALFF_cortex_LH_LimbicA_TempPole_2,1.14239366618969
50,gmv_cortex_LH_SomMotA_11,1.17028854575732
165,fALFF_Stha_R,-1.18931414245121
64,fALFF_cortex_RH_ContA_IPS_2,1.22781828062928
11,fALFF_cortex_LH_ContB_PFClv_2,1.23128664902948
62,fALFF_cortex_RH_ContA_Cingm_1,-1.24812921836335
44,DC_cortex_LH_SalVentAttnA_ParMed_1,1.259467935119
150,fALFF_cortex_RH_SomMotB_Cent_3,1.27057665662629
16,fALFF_cortex_LH_DefaultA_PFCd_1,1.30790692744816
6,fALFF_cortex_LH_ContA_IPS_1,1.31252511044695
166,fALFF_cHipp_L,-1.31501374456815
41,fALFF_cortex_LH_SalVentAttnA_FrMed_2,1.32454729259657
49,fALFF_cortex_LH_SomMotA_1,-1.32559131157069
123,fALFF_cortex_RH_SalVentAttnA_ParOper_3,1.33123325839348
133,gmv_cortex_RH_SomMotA_11,1.34095250989658
104,fALFF_cortex_RH_DorsAttnB_PostC_2,-1.34245334716127
55,fALFF_cortex_LH_SomMotB_Aud_1,1.35406201292576
125,fALFF_cortex_RH_SalVentAttnB_PFCl_1,-1.36222629729887
182,fALFF_rHipp_L,1.41792111941604
138,fALFF_cortex_RH_SomMotA_3,1.46740685570088
157,DC_cortex_RH_TempPar_4,-1.49804154708449
31,fALFF_cortex_LH_DorsAttnB_PostC_2,-1.58462420561171
128,fALFF_cortex_RH_SalVentAttnB_PFClv_1,-1.65543543162009
184,fALFF_rTtha_L,-1.76914832179635
27,DC_cortex_LH_DefaultC_PHC_3,1.77220209130393
28,fALFF_cortex_LH_DorsAttnA_SPL_3,1.82263316118098
112,fALFF_cortex_RH_SalVentAttnA_FrMed_3,1.8552314592517
25,fALFF_cortex_LH_DefaultB_Temp_1,1.89139400236206
178,fALFF_mAmyg_R,-1.92869356270618
101,fALFF_cortex_RH_DorsAttnB_FEF_3,-1.9391420505406
5,DC_cerebellum_9,1.96509875902244
26,DC_cortex_LH_DefaultB_Temp_5,-1.98598789335336
129,fALFF_cortex_RH_SalVentAttnB_PFCmp_1,2.16039912353828
143,gmv_cortex_RH_SomMotA_7,-2.18297585817718
151,fALFF_cortex_RH_SomMotB_S2_1,-2.25378312937388
121,DC_cortex_RH_SalVentAttnA_ParMed_4,-2.26809548146915
32,fALFF_cortex_LH_DorsAttnB_PostC_5,-2.29391047636242
45,DC_cortex_LH_SalVentAttnA_ParOper_1,-2.3938013193782
111,fALFF_cortex_RH_SalVentAttnA_FrMed_2,2.4407286368109
59,fALFF_cortex_LH_SomMotB_S2_2,2.45604471398164
57,fALFF_cortex_LH_SomMotB_Aud_4,2.72518183926452
122,DC_cortex_RH_SalVentAttnA_ParOper_1,2.96103491818487
168,fALFF_cTtha_L,3.21025038526748
33,gmv_cortex_LH_DorsAttnB_PostC_6,-3.24964351741844
175,gmv_lPFtha_R,3.83739932854325
132,gmv_cortex_RH_SomMotA_10,3.99222220519326
40,DC_cortex_LH_SalVentAttnA_FrMed_1,-4.05240091919471
30,DC_cortex_LH_DorsAttnB_PostC_1,4.47286433211187
160,gmv_cortex_RH_VisCent_ExStr_8,6.3167781287337
39,gmv_cortex_LH_LimbicB_OFC_1,8.26445611581062
